Vuosi,KaikuYks,HämäläinenYks,Suomalainen Wirallinen LehtiYks,Sanomia TurustaYks,Uusi SuometarYks,Tampereen SanomatYks,SatakuntaYks,Keski-SuomiYks,KarjalatarYks,Hämeen SanomatYks,KaikuMon,HämäläinenMon,Suomalainen Wirallinen LehtiMon,Sanomia TurustaMon,Uusi SuometarMon,Tampereen SanomatMon,SatakuntaMon,Keski-SuomiMon,KarjalatarMon,Hämeen SanomatMon,KaikuGen,HämäläinenGen,Suomalainen Wirallinen LehtiGen,Sanomia TurustaGen,Uusi SuometarGen,Tampereen SanomatGen,SatakuntaGen,Keski-SuomiGen,KarjalatarGen,Hämeen SanomatGen,
1868,0.0,0.932879114492487,0.6996593358693652,0.0,0.0,0.6996593358693652,0.0,0.0,0.0,0.0,0.0,3.0318571221005826,4.664395572462435,2.798637343477461,0.0,14.459626274633548,0.0,0.0,0.0,0.0,0.0,0.23321977862312174,0.4664395572462435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1869,0.0,0.5784123775621499,0.9640206292702499,0.0,0.3856082517080999,0.0,0.0,0.0,0.0,0.0,0.0,1.5424330068323997,7.326556782453899,3.4704742653728995,45.1161654498477,12.532268180513249,0.0,0.0,0.0,0.0,0.0,0.7712165034161999,0.7712165034161999,0.0,1.7352371326864497,0.0,0.0,0.0,0.0,0.0,
1870,0.0,0.0,0.9976176889587666,0.16626961482646108,1.6626961482646108,0.16626961482646108,0.0,0.0,0.0,0.0,0.0,0.4988088444793833,8.479750356149514,4.323009985487988,41.567403706615266,9.14482881545536,0.0,0.0,0.0,0.0,0.0,0.0,2.8265834520498383,0.16626961482646108,2.161504992743994,0.0,0.0,0.0,0.0,0.0,
1871,0.0,0.4525602236975015,0.905120447395003,0.4525602236975015,2.715361342185009,1.3576806710925045,0.0,1.2068272631933372,0.0,0.0,0.0,1.5085340789916717,8.749497658151697,5.430722684370018,29.567267948236765,9.05120447395003,0.0,1.659387486890839,0.0,0.0,0.0,0.4525602236975015,1.9610943026891732,0.15085340789916715,1.810240894790006,0.3017068157983343,0.0,0.0,0.0,0.0,
1872,0.0,0.14544912945787036,0.8726947767472222,0.14544912945787036,2.036287812410185,0.14544912945787036,0.0,0.2908982589157407,0.0,0.0,0.0,0.5817965178314815,9.017846026387963,4.07257562482037,30.544317186152774,5.381617789941203,0.0,0.5817965178314815,0.0,0.0,0.0,0.0,1.3090421651208333,0.8726947767472222,0.7272456472893518,0.0,0.0,0.14544912945787036,0.0,0.0,
1873,0.0,0.15290194902585405,2.5993331334395187,0.6116077961034162,1.3761175412326863,0.0,0.15290194902585405,0.3058038980517081,0.0,0.0,0.0,1.3761175412326863,12.07925397304247,8.71541109447368,32.87391904055862,8.562509145447827,2.1406272863619566,1.6819214392843944,0.0,0.0,0.0,0.0,1.6819214392843944,0.15290194902585405,0.7645097451292702,0.3058038980517081,0.15290194902585405,0.3058038980517081,0.0,0.0,
1874,0.0,0.0,0.311137315787263,1.5556865789363148,3.7336477894471556,1.244549263149052,0.0,0.0,0.1555686578936315,0.0,0.0,0.1555686578936315,6.378314973638891,9.489688131511521,40.75898836813145,7.3117269210006794,2.1779612105108406,1.244549263149052,2.489098526298104,0.0,0.0,0.1555686578936315,0.7778432894681574,0.0,1.8668238947235778,0.1555686578936315,0.0,0.1555686578936315,0.311137315787263,0.0,
1875,0.0,0.0,0.5019911478880982,1.8824668045803679,1.5059734436642944,1.6314712306363188,0.12549778697202454,0.2509955739440491,0.0,0.0,0.0,0.5019911478880982,9.537831809873865,12.675276484174478,64.38036471664859,6.149391561629202,3.890431396132761,4.392422544020859,6.023893774657178,0.0,0.0,0.0,1.0039822957761964,0.12549778697202454,1.0039822957761964,0.0,0.2509955739440491,0.0,0.5019911478880982,0.0,
1876,0.0,0.0,0.8718487028634999,0.2906162342878333,2.0343136400148327,0.38748831238377773,0.09687207809594443,0.5812324685756666,0.19374415619188887,0.0,0.0,0.38748831238377773,8.137254560059331,16.565125354406497,44.85177215842227,7.943510403867444,2.3249298743026663,5.327964295276944,1.9374415619188887,0.0,0.0,0.0,0.9687207809594444,0.0,0.9687207809594444,0.2906162342878333,0.09687207809594443,0.0,0.0,0.0,
1877,0.0,0.07903815622318383,0.8694197184550222,0.3161526248927353,2.845373624034618,0.7113434060086545,0.2371144686695515,0.5532670935622869,0.15807631244636766,0.0,0.0,0.07903815622318383,9.326502434335694,12.56706683948623,31.852376957943083,7.824777466095199,4.347098592275111,1.896915749356412,3.5567170300432727,0.0,0.0,0.15807631244636766,0.7903815622318383,0.2371144686695515,1.5807631244636766,0.15807631244636766,0.07903815622318383,0.3161526248927353,0.15807631244636766,0.0,
